"week.ending","ICB.industry.num","ICB.industry.name","weight","return"
2020-04-03,1,"Oil & Gas",2.48923384557927,5.38817408871357
2020-04-03,1000,"Basic Materials",1.88650427992598,-3.43766312758659
2020-04-03,2000,"Industrials",11.4763525262365,-4.43251016757797
2020-04-03,3000,"Consumer Goods",8.1577432319428,0.302026566545988
2020-04-03,4000,"Health Care",14.040690908937,2.20703142448253
2020-04-03,5000,"Consumer Services",13.9622858433379,-3.4305426407195
2020-04-03,6000,"Telecommunications",2.09682518907758,-2.00498941109363
2020-04-03,7000,"Utilities",3.5191565673985,-7.09421590559745
2020-04-03,8000,"Financials",17.5135961771181,-6.8857534136416
2020-04-03,9000,"Technology",24.8576114304463,-1.66259234881405
2020-04-09,1,"Oil & Gas",2.69173542656894,13.5065852372428
2020-04-09,1000,"Basic Materials",1.84562075963142,21.1701571302498
2020-04-09,2000,"Industrials",11.2735694493389,13.6639177333916
2020-04-09,3000,"Consumer Goods",8.39484926273833,8.71227663835192
2020-04-09,4000,"Health Care",14.7204591627758,9.3739845995116
2020-04-09,5000,"Consumer Services",13.8315061609474,11.6147731777475
2020-04-09,6000,"Telecommunications",2.10867784208066,9.64885565180051
2020-04-09,7000,"Utilities",3.35422149460266,17.7309872257453
2020-04-09,8000,"Financials",16.7026209950227,19.3556392111844
2020-04-09,9000,"Technology",25.0767394462932,10.2995657024902
2020-04-17,1,"Oil & Gas",2.71370787028688,0.485377759148853
2020-04-17,1000,"Basic Materials",1.98631993344642,-2.3846579249275
2020-04-17,2000,"Industrials",11.3797897003961,0.170951289403876
2020-04-17,3000,"Consumer Goods",8.10373545868424,4.03086696345583
2020-04-17,4000,"Health Care",14.2998525644046,6.54476366055621
2020-04-17,5000,"Consumer Services",13.713473573393,7.13968723239473
2020-04-17,6000,"Telecommunications",2.02835893789957,1.86178814400075
2020-04-17,7000,"Utilities",3.50714821938721,-0.629524873003273
2020-04-17,8000,"Financials",17.7028454013072,-3.79467507475543
2020-04-17,9000,"Technology",24.5647683407947,5.89916214771051
